Name;Coordinate
Little Salt Bread;-6.244121147438509,106.80211345507163
Milky Way PIK;-6.093347802773954,106.7503764891918
Sate Taichan Bang Yoyo;-6.232855537724395,106.8507852154687
Bebek Carok Kemang;-6.258628658590257,106.81443283733333
Winglok Hongkong Dimsum Tebet;-6.238359954969081,106.84760846763562
Yang Braised Chicken Rice;-6.116535075953417,106.7799454593611
+62 Coffee & Pastry;-6.179575414207754,106.78351292083762
A OK Hot Dog Bar;-6.254800053613024,106.79529072536064
Artirasa Jakbar;-6.186637890299525,106.74962632248644
betterchocolatethannever;-6.25017020945346,106.79988176954049
Billy Block;-6.229207667728259,106.80240666717468
Bittersweet By Najla - Rawamangun;-6.196882778791963,106.8833954163188
Bloomery Cake & Patisserie;-6.263842581881467,106.79521628120939
Bluline Coffee;-6.116544098067111,106.7580382241586
BODEJA by Nadja's Gourmet;-6.265506412959258,106.81977365706747
Bree Coffee and Kitchen;-6.679163249335566,106.79260719832037
Cafe Kissa;-6.194983179320633,106.81943351666922
Cheeky Cheese;-6.273836280589814,106.63410141127099
Choco by Thamra;-6.227065599445188,106.88199952419495
Colega Cafe;-6.0886416988417515,106.7429529830315
Donat Bahagia;-6.275600651892261,106.80039911181204
Elmakko Coffee;-6.201176556202886,106.81041080996486
Essel;-6.253602526018503,106.80011188964482
Fieholics - Coffee & Eatery;-6.213244798154331,106.81192137992811
Finn and Chips;-6.284847755334165,106.70260260098496
Flash Coffee Cempaka Putih;-6.176569898290947,106.8653469770282
Flor;-6.23202936507174,106.80769634694893
For A Friend;-6.228503472644678,106.6507692788579
Fox Cafe;-6.292179402803288,106.62368985249395
Fragment;-6.229379252172817,106.80687478297632
GinGin Bakery Shop;-6.191665066170132,106.75330173599129
Gotham Treats;-6.236829585768264,106.78987826768852
Gotti;-6.385271190939371,106.83930150936408
Hakon Ethnic;-6.209348287406091,106.82567596114858
Hvbitat Cafe;-6.603292755010183,106.81159191415186
Jajan Simanis;-6.233097650455138,106.81069490623477
Kase Heritage;-6.090984098699851,106.74143232535964
Kopi Nako Citra 8;-6.123903618008416,106.69280250411197
Kopte Tarik Tokyo Hub;-6.040942114951483,106.69173194697596
Kori Habitat Park;-6.226207586121099,106.80933828615223
Kotara Coffee Signature;-6.246482233416851,106.79176026522666
Kurasu;-6.204866234323194,106.83750203168074
Kurasu Kissaten;-6.243454384952736,106.80411855229461
La Alcienda;-6.283337898624218,106.75309341666788
La Gazzete;-6.234906448935933,106.82690042887114
Loffee Coffee Eatery;-6.248855102278632,106.79073864530926
Luc Up;-6.148156129474501,106.8608949253599
Lucky Cat;-6.221428256362038,106.83380495414112
Macanria PIK 1;-6.116558438654956,106.76221465023772
Maiku Cafe;-6.2443677428905,106.79940462780162
Make Some Room;-6.2439853731852315,106.80211464774322
Mamasays;-6.17485204399455,106.79019412260786
Mana Level Up;-6.049446670318034,106.70377001460993
Mardin Cafe;-6.257234042136672,106.81821943631863
Maru Little Cafe;-6.243865465447852,106.80313236435934
Master Jus Buaran;-6.221339398714102,106.90781089647048
Master Jus Kelapa Gading;-6.164087298393166,106.90341470364923
Matchaman;-6.243944084812216,106.79869321473602
Matchaya;-6.228224693759909,106.8068948541964
Milky Way Senci;-6.227800667662825,106.796785985544
Morning Blue;-6.176505837659398,106.78932954088812
Mr. Bloom;-6.194951067680428,106.82098619665156
Mr. Milk & Co;-6.184068484344715,106.75327052113776
NAKA Coffee & Dessert;-6.119472148992053,106.77784047310803
Namelaka;-6.163850874186872,106.9029059843215
Nika Senopati;-6.238499824994754,106.81589564461845
Nob Barnyard;-6.272828245813409,106.81880288040414
OO Donut;-6.243799608843764,106.80142344573399
Osh Jakarta Tebet;-6.2383522145548165,106.85148219936913
Pandora Lounge;-6.272614038506464,106.6368046572625
Paris Sorbet;-6.2388567882166255,106.81199643737003
Peacock Lounge Fairmont;-6.22204856630378,106.79903155604167
Purr Milk;-6.272416068195573,106.63823237668537
Ragusa Es Italia;-6.169848593966126,106.82989529652414
Ribbon Coffee & Eatery;-6.233297251611585,106.85055132530609
Roti Romi Kemang;-6.259544447842361,106.81551183880052
RR Choco Senopati;-6.230667643683899,106.80827277983376
Rumah Temen;-6.182374524641115,106.78160102536016
Rush Cakes By Endorphins;-6.113128537235103,106.7854867483849
Salty Salty;-6.092327364263042,106.74070121056945
Sancha PIK;-6.0901777492076725,106.74205039260707
Scarletts House Blok M;-6.243075598479761,106.80035915395922
Seoul Bakeshop;-6.141498803745003,106.7943140794439
Seroja Bake;-6.283574299382967,106.78065731890906
Sinilagi;-6.24989504922987,106.7982834388527
Soes Surgawi;-6.230341070471379,106.8510865054145
Sour Sally Green ;-6.123294034863788,106.69339454064612
Switch by Koni;-6.261666640415502,106.81550292050453
Tiembi;-6.197153954879902,106.72945655910858
Uji Matcha GI;-6.194889360804849,106.82000896375844
Uki Matcha;-6.227080995121975,106.81016767899261
Waffle Khan;-6.148129530051796,106.90978855473199
Wone Cafe;-6.22419446539179,106.84248850278495
Yoguchi Frozen Yoghurt & Chips Bar;-6.244395944217469,106.65355167933237
Abunawas Kemang;-6.256939326155832,106.81859658997979
Amanaia Satrio;-6.219394178021729,106.81955039945628
Angkringan Babi Boy;-6.145602703224609,106.90943657095268
Apollo Wu Artisan Roast;-6.2294872050054515,106.82487689782197
Ayam Goreng Ani Ani;-6.244756243157331,106.80200744897418
Ayam Taliwang Asad;-6.277447858685692,106.79850082613733
Ayam Taliwang Asad;-6.277466751737645,106.79846988118098
Babi Balah;-6.088332490515343,106.74221186461749
Bakmi Gibah;-6.224158321731654,106.77834121001666
Bakoel Bambu;-6.285808186709849,106.72935739837673
Bakso Malang Enggal;-6.20132858311308,106.88618043864776
Bakso Malang Nonik;-6.169669243997753,106.76814463793204
Barcelona;-6.226296808361436,106.82610476471132
Beautika Petojo;-6.179276726315408,106.81804521181127
Bihun Bebek A Eng;-6.112649514567813,106.7430733700236
BMB Burger Serpong;-6.240928751579471,106.62920411079013
Bumi Aki Heritage Puncak;-6.711792877803451,106.99585672220016
Butanoya kelapa gading;-6.148196136263273,106.91107063772724
Butteria;-6.193058075141318,106.8285899513515
Casita;-6.244927331791708,106.79406172605754
Chi Yung Ba;-6.164477827062728,106.90326434618422
Cumitong;-6.275404187725331,106.70025066853246
Dak Dak;-6.090679327721941,106.74159598866163
Demie 69 Kemang;-6.272304629476571,106.82093898885043
Dijans;-6.273308857692859,106.81762150369663
Dips!;-6.275483127023064,106.70043759735908
Feng Yun;-6.27029206886644,106.6232932186779
Fumo Chicken Bar;-6.277335967077268,106.80079641443685
Gabon African Chicken;-6.259970340733625,106.62931617547889
Glosis;-6.14122354861959,106.85467456200264
Golden Black Gourmet;-6.271619516848807,106.82187476954059
Gurih 7 Bogor;-6.573976878930314,106.80755133804574
Haidilao Hot Pot;-6.196600602008927,106.82244863634494
High Table;-6.226996463492004,106.81014633266855
Hwaro Korean Steakhouse;-6.237601285673299,106.81428195414115
Ichisan Lakeside;-6.1234118611097506,106.69306036124688
Il Mare;-6.215413890111966,106.79748037313955
J Chicken PIK;-6.112142234819231,106.7432145644449
Kataramen;-6.1969320920621245,106.88588147558524
Kedai 2 Paman;-6.240125089554463,106.81046872721241
Kedai Mie Tjap Chili;-6.171107316986991,106.86789834261731
King Claypot;-6.148228346720245,106.91113208401016
Kinmori;-6.112384467453246,106.74406332681663
KKado Chicken;-6.2556328121604245,106.81451486267495
Krapow Thai Flavours;-6.2286872125984845,106.65986652684437
Krispy Pork Home;-6.170768745315721,106.74631725040284
Lapo Porsea;-6.228078978939492,106.81003038238585
Little Red Dot;-6.177362076836449,106.79156507985539
Lucky Peach Dinner;-6.242951449348366,106.80909695897931
Lyma;-6.249011283985583,106.79124972829541
Makassar Seafood Pelangi;-6.172049859290352,106.89800253994855
Manusa by Bumbu Manado;-6.186966491879382,106.82130072530565
MissGu Hotpot Rotating;-6.234620755276987,106.63179672536049
Monokuro;-6.240653274791483,106.63694560903338
Nagochi;-6.116657090212122,106.77981466369174
Nasi Bebek Pak Munawi;-6.279903329252841,106.81819236954068
Nasi Campur KacaMata;-6.16809444925282,106.90039185851171
Nasi Goreng Kelenteng 08;-6.1345164738846405,106.71603017026588
Nasi Iskandar;-6.275867604135698,106.82100208576112
Nasi Iskandar;-6.275867604135698,106.82100208576112
Nasi Uduk Ibu Sumi;-6.136986202244567,106.81981316407196
Nona Steak;-6.142294431804265,106.81765061186776
Omah Yung Ginah;-6.362204240779871,106.63414991184479
Pallubasa Serigala;-6.173186293559663,106.89774776768817
Payakumbuah Benhil;-6.212186133769704,106.81224627855904
Pempek Jempol;-6.2430137175457805,106.62505154941867
Pesta Kebun;-6.059242957957814,106.69313054574725
Picca Steakroom;-6.249873763599272,106.79852340996528
Pokenbir;-6.217343889959781,106.8299990054173
Porca Steak;-6.1530344619506945,106.90870208303191
Potteria;-6.169131999408023,106.77286854630471
Rao He;-6.26163507543625,106.8155505875727
Ricaraja;-6.164298991578616,106.90324035789823
Roji Ramen;-6.241846888387995,106.79184281447941
Sami Thai Noodle;-6.121976629166173,106.69676193885185
Sarang Oci;-6.180279659177292,106.84029791186809
Sate Konco;-6.248216721951613,106.6224928608963
Sawarna Seafood;-6.232406986312287,106.6323250829764
Semaja;-6.190974324081696,106.82811412803436
Shao Kao;-6.1123036489048435,106.74397838547758
Sinar Mandala;-6.23925468546987,106.80970271001672
Sooyamin Bakmi Sapi;-6.3011449512931135,106.78026747789292
Sorabol Korean Dining;-6.253512683712809,106.80037922530607
Soto Kuning Pak Yusup;-6.609837316491806,106.80414941767393
Souvee Bistro;-6.193649477463085,106.84060646494574
Stella Di Napoli Pizzeria;-6.141546490554702,106.7943308607299
Straits;-6.240888363514366,106.78928297738646
Suck My Duck;-6.230118545063262,106.79745816657328
Sumibi;-6.2458492111847,106.78838797303979
Sumomatsu;-6.092710774678703,106.74327073441793
Sushi Hiro Menteng;-6.193307477576132,106.8290024771821
T1 Blue Sky Premier Lounge;-6.127867312750305,106.65783395080854
T2 Blue Sky Premier Lounge;-6.122355611841242,106.65155736125442
TekTek Apuy;-6.1696178272976,106.90165935419603
Terra Senayan;-6.224930748332875,106.80117738273063
The Misoa Story;-6.245087264158787,106.80209744556058
The Waterfall Resto;-6.370744156201711,106.74515681186938
Torishin - Goldfinch;-6.273858511216106,106.63513375419998
Warung Ijo;-6.18862246555156,106.83640265238894
Warung MJS;-6.208809999612631,106.8267341455326
Wolf;-6.091899336127386,106.7410281594576
Yaoyao Sauerkraut Fish;-6.159317562151,106.90686296954007
Habitat Park SCBD;-6.226236724863878,106.80930698118063
